,,ナビデータ中身
2019/11/10,12:04:52,CVNAVR103FB03000555000555037462007140293268+028018131403+00070120451108
2019/11/10,12:04:53,CVNAVR103FB03000560000560037462020140293253+027018931403+00070120452108
2019/11/10,12:04:54,CVNAVR103FB03000565000565037462032140293237+027019331403+00070120453108
2019/11/10,12:04:55,CVNAVR103FB03000570000570037462043140293221+027018731403+00070120454108
2019/11/10,12:04:56,CVNAVR103FB03000575000575037462056140293209+027018331403+00070120455108
2019/11/10,12:04:57,CVNAVR103FB03000580000580037462067140293193+027018131403+00070120456108
2019/11/10,12:04:58,CVNAVR103FB03000590000590037462079140293178+027018731403+00070120457108
2019/11/10,12:05:00,CVNAVR103FB03000595000595037462092140293162+027019131403+00070120458108
2019/11/10,12:05:00,CVNAVR103FB03000600000600037462103140293146+027018531403+00070120459108
2019/11/10,12:05:01,CVNAVR103FB03000605000605037462115140293131+027019531403+00070120500108
2019/11/10,12:05:02,CVNAVR103FB03000610000610037462125140293118+027019331403+00070120501108
2019/11/10,12:05:03,CVNAVR103FB03000614000614037462137140293100+027017331403+00070120502108
2019/11/10,12:05:04,CVNAVR103FB03000619000619037462145140293090+027016731403+00070120503108
2019/11/10,12:05:05,CVNAVR103FB03000624000624037462153140293078+027017229764+00070120504108
2019/11/10,12:05:06,CVNAVR103FB03000624000624037462160140293059+027017629764+00070120505108
2019/11/10,12:05:07,CVNAVR103FB03000635000635037462171140293037+027018029764+00070120506108
2019/11/10,12:05:10,CVNAVR103FB03000639000639037462179140293015+027017829764+00070120507108
