,,ナビデータ中身
2019/11/10,12:03:25,CVGPSR001FC01000510000470037461918140293368+067000030205-04070120324114
2019/11/10,12:03:26,CVGPSR001FC01000510000470037461918140293368+067000030205-04070120325114
2019/11/10,12:03:27,CVGPSR001FC01000510000470037461918140293368+067000030202-04070120326114
2019/11/10,12:03:28,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120327114
2019/11/10,12:03:29,CVGPSR001FC01000510000470037461918140293368+067000030201-04070120328114
2019/11/10,12:03:30,CVGPSR001FC01000510000470037461918140293368+067000030201-04070120329114
2019/11/10,12:03:31,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120330114
2019/11/10,12:03:32,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120331114
2019/11/10,12:03:33,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120332114
2019/11/10,12:03:34,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120333114
2019/11/10,12:03:35,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120334114
2019/11/10,12:03:36,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120335114
2019/11/10,12:03:37,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120336114
2019/11/10,12:03:38,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120337114
2019/11/10,12:03:39,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120338114
2019/11/10,12:03:40,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120339114
2019/11/10,12:03:41,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120340114
2019/11/10,12:03:42,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120341114
2019/11/10,12:03:43,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120342114
2019/11/10,12:03:44,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120343114
2019/11/10,12:03:45,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120344114
2019/11/10,12:03:46,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120345114
2019/11/10,12:03:47,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120346114
2019/11/10,12:03:48,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120347114
2019/11/10,12:03:49,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120348114
2019/11/10,12:03:50,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120349114
2019/11/10,12:03:51,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120350114
2019/11/10,12:03:52,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120351114
2019/11/10,12:03:53,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120352114
2019/11/10,12:03:54,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120353114
