,,ナビデータ中身
2019/11/10,12:04:29,CVNAVR101FC01000532000492037461970140293318+015008930795-04070120427108
2019/11/10,12:04:30,CVNAVR101FC01000534000494037461976140293309+014008931403-04070120428107
2019/11/10,12:04:31,CVNAVR101FC01000537000497037461984140293300+014009031403-04070120429108
2019/11/10,12:04:32,CVNAVR101FC01000543000503037461992140293290+014010831403-04070120430108
2019/11/10,12:04:33,CVNAVR101FC01000548000508037462003140293278+014014031403-04070120431108
2019/11/10,12:04:34,CVNAVR101FC01000554000514037462015140293262+014016531403-04070120432108
2019/11/10,12:04:35,CVNAVR101FC01000559000519037462026140293246+015017131403-04070120433108
2019/11/10,12:04:36,CVNAVR101FC01000564000524037462037140293231+015017531403-04070120434108
2019/11/10,12:04:37,CVNAVR101FC01000569000529037462048140293218+015017932127-04070120435108
2019/11/10,12:04:38,CVNAVR101FC01000575000535037462060140293200+015018731958-04070120436108
2019/11/10,12:04:39,CVNAVR101FC01000580000540037462073140293184+015019331758-04070120437108
2019/11/10,12:04:40,CVNAVR101FC01000585000545037462085140293168+015019431626-04070120438107
2019/11/10,12:04:41,CVNAVR101FC01000590000550037462096140293153+015019131403-04070120439108
2019/11/10,12:04:42,CVNAVR101FC01000595000555037462109140293137+015018731403-04070120440108
2019/11/10,12:04:43,CVNAVR101FC01000600000560037462118140293125+015018231403-04070120441108
2019/11/10,12:04:44,CVNAVR101FC01000604000564037462128140293115+015017831403-04070120442108
2019/11/10,12:04:45,CVNAVR101FC01000609000569037462135140293103+015017531403-04070120443108
2019/11/10,12:04:46,CVNAVR101FC01000614000574037462143140293093+015017131403-04070120444107
2019/11/10,12:04:47,CVNAVR101FC01000614000574037462151140293081+015017031369-04070120445108
2019/11/10,12:04:48,CVNAVR101FC01000619000579037462159140293062+015017431181-04070120446108
2019/11/10,12:04:49,CVNAVR101FC01000625000585037462167140293046+015018030948-04070120447108
2019/11/10,12:04:50,CVNAVR101FC01000630000590037462175140293025+015018430648-04070120448108
2019/11/10,12:04:51,CVNAVR101FC01000640000600037462184140293003+016018729764-04070120449108
2019/11/10,12:04:52,CVNAVR101FC01000645000605037462193140292981+016019029764-04070120450107
2019/11/10,12:04:53,CVNAVR101FC01000650000610037462203140292956+016019329764-04070120451108
2019/11/10,12:04:54,CVNAVR101FC01000660000620037462214140292934+016019329764-04070120452108
2019/11/10,12:04:55,CVNAVR101FC01000665000625037462221140292912+016018729764-04070120453108
2019/11/10,12:04:56,CVNAVR101FC01000669000629037462228140292896+016017429764-04070120454108
2019/11/10,12:04:57,CVNAVR101FC01000674000634037462234140292881+016016129764-04070120455108
2019/11/10,12:04:58,CVNAVR101FC01000678000638037462240140292868+016015029764-04070120456107
2019/11/10,12:04:59,CVNAVR101FC01000679000639037462246140292853+016015329764-04070120457107
2019/11/10,12:05:00,CVNAVR101FC01000684000644037462254140292834+016016029764-04070120458108
2019/11/10,12:05:01,CVNAVR101FC01000689000649037462262140292818+016016729790-04070120459108
2019/11/10,12:05:02,CVNAVR101FC01000694000654037462268140292800+016017429790-04070120500108
2019/11/10,12:05:03,CVNAVR101FC01000704000664037462278140292781+016017729790-04070120501108
2019/11/10,12:05:04,CVNAVR101FC01000709000669037462284140292762+016017929790-04070120502108
2019/11/10,12:05:05,CVNAVR101FC01000715000675037462292140292743+015018129790-04070120503108
2019/11/10,12:05:06,CVNAVR101FC01000720000680037462300140292725+015018329790-04070120504108
2019/11/10,12:05:07,CVNAVR101FC01000725000685037462307140292706+016018429790-04070120505108
2019/11/10,12:05:08,CVNAVR101FC01000730000690037462315140292687+016018529790-04070120506108
2019/11/10,12:05:09,CVNAVR101FC01000735000695037462323140292668+016018529790-04070120507108
2019/11/10,12:05:10,CVNAVR101FC01000740000700037462331140292650+016018629790-04070120508108
