,,ナビデータ中身
2019/11/10,12:03:12,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120311114
2019/11/10,12:03:13,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120312114
2019/11/10,12:03:14,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120313114
2019/11/10,12:03:15,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120314114
2019/11/10,12:03:16,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120315114
2019/11/10,12:03:17,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120316114
2019/11/10,12:03:18,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120317114
2019/11/10,12:03:19,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120318114
2019/11/10,12:03:20,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120319114
2019/11/10,12:03:21,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120320114
2019/11/10,12:03:22,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120321114
2019/11/10,12:03:23,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120322114
2019/11/10,12:03:24,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120323114
2019/11/10,12:03:25,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120324114
2019/11/10,12:03:26,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120325114
2019/11/10,12:03:27,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120326114
2019/11/10,12:03:28,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120327114
2019/11/10,12:03:29,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120328115
2019/11/10,12:03:30,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120329114
2019/11/10,12:03:31,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120330114
2019/11/10,12:03:32,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120331114
2019/11/10,12:03:33,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120332114
2019/11/10,12:03:34,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120333114
2019/11/10,12:03:35,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120334114
2019/11/10,12:03:36,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120335114
2019/11/10,12:03:37,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120336114
2019/11/10,12:03:38,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120337114
2019/11/10,12:03:39,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120338114
2019/11/10,12:03:40,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120339114
2019/11/10,12:03:41,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120340114
2019/11/10,12:03:42,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120341114
2019/11/10,12:03:43,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120342114
2019/11/10,12:03:44,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120343114
2019/11/10,12:03:45,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120344114
2019/11/10,12:03:46,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120345114
2019/11/10,12:03:47,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120346114
2019/11/10,12:03:48,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120347114
2019/11/10,12:03:49,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120348114
2019/11/10,12:03:50,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120349114
2019/11/10,12:03:51,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120350114
2019/11/10,12:03:52,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120351114
2019/11/10,12:03:53,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120352114
2019/11/10,12:03:54,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120353114
2019/11/10,12:03:55,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120354114
2019/11/10,12:03:56,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120355114
2019/11/10,12:03:57,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120356114
2019/11/10,12:03:58,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120357114
2019/11/10,12:03:59,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120358114
2019/11/10,12:04:00,CVGPSR002FC02000340000325037461879140293709+064000616128-01570120359114
2019/11/10,12:04:01,CVGPSR002FC02000340000325037461879140293709+064000616118-01570120400114
2019/11/10,12:04:02,CVGPSR002FC02000340000325037461878140293709+064000816108-01570120401114
2019/11/10,12:04:03,CVGPSR002FC02000340000325037461876140293712+064001616096-01570120402114
2019/11/10,12:04:04,CVGPSR002FC02000340000325037461875140293712+064001616080-01570120403114
2019/11/10,12:04:05,CVGPSR002FC02000340000325037461875140293712+064001716067-01570120404114
2019/11/10,12:04:07,CVGPSR002FC02000341000326037461873140293712+064001616054-01570120405114
2019/11/10,12:04:07,CVGPSR002FC02000341000326037461871140293712+064001616042-01570120406114
2019/11/10,12:04:08,CVGPSR002FC02000341000326037461870140293715+064001616033-01570120407114
2019/11/10,12:04:09,CVGPSR002FC02000341000326037461868140293715+064001316020-01570120408114
2019/11/10,12:04:10,CVGPSR002FC02000341000326037461867140293715+064001215998-01570120409114
2019/11/10,12:04:11,CVGPSR002FC02000341000326037461867140293715+064001415984-01570120410114
2019/11/10,12:04:12,CVGPSR002FC02000341000326037461865140293715+064001815966-01570120411114
2019/11/10,12:04:13,CVGPSR002FC02000341000326037461862140293718+064002015954-01570120412114
2019/11/10,12:04:14,CVGPSR002FC02000341000326037461862140293718+064001715937-01570120413114
2019/11/10,12:04:15,CVGPSR002FC02000341000326037461860140293718+064001415921-01570120414114
2019/11/10,12:04:16,CVGPSR002FC02000345000330037461859140293718+064001415866-01570120415114
2019/11/10,12:04:17,CVGPSR002FC02000345000330037461857140293718+064001715825-01570120416114
2019/11/10,12:04:18,CVGPSR002FC02000345000330037461856140293721+064001815782-01570120417114
2019/11/10,12:04:19,CVGPSR002FC02000345000330037461854140293721+064001715748-01570120418114
2019/11/10,12:04:20,CVGPSR002FC02000345000330037461853140293721+064001415727-01570120419114
2019/11/10,12:04:21,CVGPSR002FC02000345000330037461853140293721+064001215727-01570120420114
2019/11/10,12:04:22,CVGPSR002FC02000345000330037461853140293721+064000015727-01570120421114
2019/11/10,12:04:23,CVGPSR002FC02000345000330037461853140293721+064000015728-01570120422114
2019/11/10,12:04:24,CVGPSR002FC02000345000330037461853140293721+064000015729-01570120423114
2019/11/10,12:04:25,CVGPSR002FC02000345000330037461853140293721+064000015729-01570120424114
2019/11/10,12:04:26,CVGPSR002FC02000345000330037461853140293721+064000015728-01570120425114
2019/11/10,12:04:27,CVGPSR002FC02000345000330037461853140293721+064000015728-01570120426114
2019/11/10,12:04:28,CVGPSR002FC02000345000330037461853140293721+064000015730-01570120427114
2019/11/10,12:04:29,CVGPSR002FC02000345000330037461853140293721+064000015730-01570120428114
2019/11/10,12:04:30,CVGPSR002FC02000345000330037461853140293721+064000015729-01570120429114
